image_path,mask_path
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC82_MGUS_001.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC82_MGUS_001.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC07_UB_001.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC07_UB_001.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC49_B_001.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC49_B_001.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC56_B_001.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC56_B_001.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC80_B_001.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC80_B_001.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC89_B_001.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC89_B_001.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC66_B_002.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC66_B_002.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC84_B_002.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC84_B_002.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC50_B_002.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC50_B_002.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC38_B_002.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC38_B_002.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/raw_images/multistack_tiffs/TS-373_IMC39_B_001.tiff,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/myeloma_IMC/segmentation/TS-373_IMC39_B_001.tiff
