image_path,mask_path
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31739_6_13.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31739_6_13_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31739_6_14.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31739_6_14_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31739_6_15.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31739_6_15_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31739_6_16.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31739_6_16_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31740_16_6.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31740_16_6_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31740_6_11.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31740_6_11_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31740_6_12.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31740_6_12_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31741_1_1.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31741_1_1_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31742_1_2.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31742_1_2_segmentation_labels.tiff
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/raw_images/multistack_tiffs/10_31743_16_7.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/feto_maternal/segmentation/10_31743_16_7_segmentation_labels.tiff
