image_path,mask_path
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S001_IDS.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S001_IDS.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S008_chemonaive.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S008_chemonaive.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S010_chemonaive.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S010_chemonaive.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S011_IDS.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S011_IDS.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S011_chemonaive.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S011_chemonaive.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S012_IDS.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S012_IDS.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S012_chemonaive.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S012_chemonaive.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S014_IDS.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S014_IDS.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S014_chemonaive.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S014_chemonaive.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S015_IDS.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S015_IDS.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S015_chemonaive.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S015_chemonaive.tif
/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/raw_images/multistack_tiffs/S016_chemonaive.ome.tif,/home/hd/hd_hd/hd_bm327/sds-hd/sd22c003/phenotyping_benchmark/datasets/cycif_ovca/segmentation/S016_chemonaive.tif
