Actual,B,CD4 T,CD4 Treg,CD8 T,DC,Endothelial,M1,M2,NK,Neutrophil,Other,Tumor
B,4420,176,76,9,15,4,1,18,3,2,39,62
CD4 T,114,9349,715,190,201,22,27,91,31,125,55,46
CD4 Treg,47,679,6907,84,108,11,13,25,20,21,65,13
CD8 T,11,105,102,2312,30,3,5,19,5,14,18,0
DC,45,313,213,102,3030,5,27,158,23,20,11,17
Endothelial,9,16,5,7,5,1108,0,4,1,6,1,0
M1,5,124,35,21,118,1,604,52,4,7,9,2
M2,18,132,14,73,121,10,12,4134,11,103,113,5
NK,8,14,13,3,17,6,1,13,857,13,20,12
Neutrophil,12,47,29,28,16,8,2,23,3,3169,23,6
Other,20,59,22,1,63,30,1,144,17,106,2682,7
Tumor,30,59,30,12,41,3,1,22,6,15,10,1192
