Actual,B,CD4 T,CD4 Treg,CD8 T,DC,Endothelial,M1,M2,NK,Neutrophil,Other,Tumor
B,4423,182,43,9,16,5,4,23,4,11,46,60
CD4 T,109,9320,718,185,230,37,19,90,27,138,57,37
CD4 Treg,55,694,6880,88,96,12,6,17,23,25,88,8
CD8 T,11,136,115,2240,31,3,10,30,7,20,15,6
DC,58,276,236,73,3032,7,18,185,18,18,21,23
Endothelial,6,15,2,4,0,1103,1,2,4,11,13,0
M1,9,153,22,23,117,0,593,50,2,5,5,3
M2,25,149,13,73,131,7,16,4090,10,115,111,5
NK,12,17,12,13,9,5,2,13,841,13,22,18
Neutrophil,9,51,20,23,14,2,1,27,4,3189,20,7
Other,20,49,21,4,60,20,3,109,19,122,2715,9
Tumor,41,55,21,14,37,1,0,20,7,21,15,1188
