Actual,B,CD4 T,CD4 Treg,CD8 T,DC,Endothelial,M1,M2,NK,Neutrophil,Other,Tumor
B,4447,174,52,10,20,1,3,15,1,12,32,59
CD4 T,114,9344,678,179,215,18,26,108,27,126,81,50
CD4 Treg,76,656,6884,84,107,11,13,16,14,23,94,14
CD8 T,15,119,115,2269,23,0,9,25,11,13,18,7
DC,75,268,234,86,3011,5,33,177,15,33,10,18
Endothelial,6,17,10,2,3,1094,1,5,3,7,13,1
M1,11,121,37,27,87,4,640,39,5,2,8,1
M2,18,134,20,72,121,10,16,4154,10,79,98,13
NK,18,14,11,6,9,3,0,25,855,6,18,12
Neutrophil,5,50,25,20,8,2,2,33,0,3192,23,7
Other,24,41,29,6,61,7,3,114,20,105,2734,8
Tumor,35,46,31,19,49,0,2,11,7,8,17,1195
